-- sql/04_duplicate_refs.sql against the live 500k-row seed: 100 refs appear twice
-- (generator reuses a ref every 5,000 rows). TXN00004999 is the lookup fixture.

 transaction_ref | occurrences 
-----------------+-------------
 TXN00004999     |           2
 TXN00009999     |           2
 TXN00014999     |           2
 TXN00019999     |           2
 TXN00024999     |           2
 TXN00029999     |           2
 TXN00034999     |           2
 TXN00039999     |           2
 TXN00044999     |           2
 TXN00049999     |           2
 TXN00054999     |           2
 TXN00059999     |           2
 TXN00064999     |           2
 TXN00069999     |           2
 TXN00074999     |           2
 TXN00079999     |           2
 TXN00084999     |           2
 TXN00089999     |           2
 TXN00094999     |           2
 TXN00099999     |           2
 TXN00104999     |           2
 TXN00109999     |           2
 TXN00114999     |           2
 TXN00119999     |           2
 TXN00124999     |           2
 TXN00129999     |           2
 TXN00134999     |           2
 TXN00139999     |           2
 TXN00144999     |           2
 TXN00149999     |           2
 TXN00154999     |           2
 TXN00159999     |           2
 TXN00164999     |           2
 TXN00169999     |           2
 TXN00174999     |           2
 TXN00179999     |           2
 TXN00184999     |           2
 TXN00189999     |           2
 TXN00194999     |           2
 TXN00199999     |           2
 TXN00204999     |           2
 TXN00209999     |           2
 TXN00214999     |           2
 TXN00219999     |           2
 TXN00224999     |           2
 TXN00229999     |           2
 TXN00234999     |           2
 TXN00239999     |           2
 TXN00244999     |           2
 TXN00249999     |           2
 TXN00254999     |           2
 TXN00259999     |           2
 TXN00264999     |           2
 TXN00269999     |           2
 TXN00274999     |           2
 TXN00279999     |           2
 TXN00284999     |           2
 TXN00289999     |           2
 TXN00294999     |           2
 TXN00299999     |           2
 TXN00304999     |           2
 TXN00309999     |           2
 TXN00314999     |           2
 TXN00319999     |           2
 TXN00324999     |           2
 TXN00329999     |           2
 TXN00334999     |           2
 TXN00339999     |           2
 TXN00344999     |           2
 TXN00349999     |           2
 TXN00354999     |           2
 TXN00359999     |           2
 TXN00364999     |           2
 TXN00369999     |           2
 TXN00374999     |           2
 TXN00379999     |           2
 TXN00384999     |           2
 TXN00389999     |           2
 TXN00394999     |           2
 TXN00399999     |           2
 TXN00404999     |           2
 TXN00409999     |           2
 TXN00414999     |           2
 TXN00419999     |           2
 TXN00424999     |           2
 TXN00429999     |           2
 TXN00434999     |           2
 TXN00439999     |           2
 TXN00444999     |           2
 TXN00449999     |           2
 TXN00454999     |           2
 TXN00459999     |           2
 TXN00464999     |           2
 TXN00469999     |           2
 TXN00474999     |           2
 TXN00479999     |           2
 TXN00484999     |           2
 TXN00489999     |           2
 TXN00494999     |           2
 TXN00499999     |           2
(100 rows)

